Ref,Item,UM,Saldo,Preco Unit,Contato
SKU-001,Item Sintetico 01,UN,1,5.25,COD00000001
SKU-002,Item Sintetico 02,UN,2,5.50,COD00000002
SKU-003,Item Sintetico 03,UN,3,5.75,COD00000003
SKU-004,Item Sintetico 04,UN,4,6.00,COD00000004
SKU-005,Item Sintetico 05,UN,5,6.25,COD00000005
SKU-006,Item Sintetico 06,UN,6,6.50,COD00000006
SKU-007,Item Sintetico 07,UN,7,6.75,COD00000007
SKU-008,Item Sintetico 08,UN,8,7.00,COD00000008
SKU-009,Item Sintetico 09,UN,9,7.25,COD00000009
SKU-010,Item Sintetico 10,UN,10,7.50,COD00000010
SKU-011,Item Sintetico 11,UN,11,7.75,COD00000011
SKU-012,Item Sintetico 12,UN,12,8.00,COD00000012
SKU-013,Item Sintetico 13,UN,13,8.25,COD00000013
SKU-014,Item Sintetico 14,UN,14,8.50,COD00000014
SKU-015,Item Sintetico 15,UN,15,8.75,COD00000015
SKU-016,Item Sintetico 16,UN,16,9.00,COD00000016
SKU-017,Item Sintetico 17,UN,17,9.25,COD00000017
SKU-018,Item Sintetico 18,UN,18,9.50,COD00000018
SKU-019,Item Sintetico 19,UN,19,9.75,COD00000019
SKU-020,Item Sintetico 20,UN,20,10.00,COD00000020
