Razao,Registro X,Cod,Contato,Notas Internas
Fornecedor Sintetico 01,12.ABC.345/0001-DE,F001,compras01@example.test,nota 01
Fornecedor Sintetico 02,12.ABC.345/0002-DE,F002,compras02@example.test,nota 02
Fornecedor Sintetico 03,12.ABC.345/0003-DE,F003,compras03@example.test,nota 03
Fornecedor Sintetico 04,12.ABC.345/0004-DE,F004,compras04@example.test,nota 04
Fornecedor Sintetico 05,12.ABC.345/0005-DE,F005,compras05@example.test,nota 05
Fornecedor Sintetico 06,12.ABC.345/0006-DE,F006,compras06@example.test,nota 06
Fornecedor Sintetico 07,12.ABC.345/0007-DE,F007,compras07@example.test,nota 07
Fornecedor Sintetico 08,12.ABC.345/0008-DE,F008,compras08@example.test,nota 08
Fornecedor Sintetico 09,12.ABC.345/0009-DE,F009,compras09@example.test,nota 09
Fornecedor Sintetico 10,12.ABC.345/0010-DE,F010,compras10@example.test,nota 10
Fornecedor Sintetico 11,12.ABC.345/0011-DE,F011,compras11@example.test,nota 11
Fornecedor Sintetico 12,12.ABC.345/0012-DE,F012,compras12@example.test,nota 12
Fornecedor Sintetico 13,12.ABC.345/0013-DE,F013,compras13@example.test,nota 13
Fornecedor Sintetico 14,12.ABC.345/0014-DE,F014,compras14@example.test,nota 14
Fornecedor Sintetico 15,12.ABC.345/0015-DE,F015,compras15@example.test,nota 15
Fornecedor Sintetico 16,12.ABC.345/0016-DE,F016,compras16@example.test,nota 16
Fornecedor Sintetico 17,12.ABC.345/0017-DE,F017,compras17@example.test,nota 17
Fornecedor Sintetico 18,12.ABC.345/0018-DE,F018,compras18@example.test,nota 18
Fornecedor Sintetico 19,12.ABC.345/0019-DE,F019,compras19@example.test,nota 19
Fornecedor Sintetico 20,INVALIDO,F020,sem-email,nota 20
